0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
161	tower	41.1743001	-8.5669001	1390707844						NA						NA	NA	
162	tower	41.1743773	-8.5740687	1390707847						NA						NA	NA	
163	tower	41.1744062	-8.5741618	1390707848						NA						NA	NA	
164	tower	41.1755983	-8.5748889	1390707859						NA						NA	NA	
165	tower	41.176014	-8.5743928	1390707863						NA						NA	NA	
166	tower	41.1762751	-8.5632387	1390707866						NA						NA	NA	
167	tower	41.1762998	-8.5653883	1390707867						NA						NA	NA	
168	tower	41.1762947	-8.5623199	1390707869						NA						NA	NA	
169	tower	41.1766432	-8.5755721	1390707870						NA						NA	NA	
170	tower	41.1769694	-8.5742025	1390707871						NA						NA	NA	
171	tower	41.1777946	-8.5735735	1390707875						NA						NA	NA	
172	tower	41.1781475	-8.5629324	1390707877						NA						NA	NA	
173	tower	41.1783139	-8.5736653	1390707878						NA						NA	NA	
174	tower	41.1785416	-8.5741863	1390707879						NA						NA	NA	
175	tower	41.1789555	-8.5622537	1390707880						NA						NA	NA	
176	tower	41.1794338	-8.5629074	1390707882						NA						NA	NA	
177	tower	41.1801342	-8.5621731	1390707885						NA						NA	NA	
178	tower	41.1802239	-8.5730421	1390707886						NA						NA	NA	
179	tower	41.1809476	-8.5720506	1390707890						NA						NA	NA	
180	tower	41.1810093	-8.5722945	1390707891						NA						NA	NA	
181	tower	41.1822046	-8.5621101	1390707892						NA						NA	NA	
182	tower	41.1825446	-8.5715418	1390707893						NA						NA	NA	
183	tower	41.1825911	-8.5712344	1390707894						NA						NA	NA	
184	tower	41.1828074	-8.5716745	1390707895						NA						NA	NA	
185	tower	41.1833718	-8.5627345	1390707897						NA						NA	NA	
186	tower	41.1843191	-8.5620333	1390707899						NA						NA	NA	
187	tower	41.1844357	-8.570589	1390707900						NA						NA	NA	
188	tower	41.1846431	-8.5708102	1390707901						NA						NA	NA	
189	tower	41.1849913	-8.5700613	1390707902						NA						NA	NA	
190	tower	41.1852287	-8.5626493	1390707903						NA						NA	NA	
191	tower	41.1864008	-8.5619482	1390707904						NA						NA	NA	
192	tower	41.186671	-8.5626059	1390707905						NA						NA	NA	
193	tower	41.1872281	-8.5695976	1390707906						NA						NA	NA	
194	tower	41.1872949	-8.5691916	1390707907						NA						NA	NA	
195	tower	41.1876728	-8.5687557	1390707908						NA						NA	NA	
196	tower	41.1878381	-8.5618848	1390707909						NA						NA	NA	
197	tower	41.188475	-8.5625124	1390707910						NA						NA	NA	
198	tower	41.1894585	-8.568542	1390707912						NA						NA	NA	
199	tower	41.1899079	-8.5679202	1390707917						NA						NA	NA	
200	tower	41.1899256	-8.5676456	1390707922						NA						NA	NA	
201	tower	41.1921658	-8.5665518	1390707923				Bing		NA						NA	NA	
202	tower	41.192272	-8.5667557	1390707924				Bing		NA						NA	NA	
203	tower	41.1906068	-8.5617796	1390707925						NA						NA	NA	
204	tower	41.1907362	-8.5624373	1390707926						NA						NA	NA	
205	tower	41.1902378	-8.5572604	1390707927						NA						NA	NA	
206	tower	41.192872	-8.5577939	1390707928						NA						NA	NA	
207	tower	41.1930364	-8.5623405	1390707929						NA						NA	NA	
208	tower	41.1932524	-8.5616677	1390707930						NA						NA	NA	
209	tower	41.1951894	-8.562247	1390707932						NA						NA	NA	
210	tower	41.195692	-8.5578711	1390707933						NA						NA	NA	
211	tower	41.1958638	-8.561438	1390707934						NA						NA	NA	
212	tower	41.19736	-8.5621619	1390707935						NA						NA	NA	
213	tower	41.1976186	-8.5587537	1390707936						NA						NA	NA	
214	tower	41.1987214	-8.5594297	1390707937						NA						NA	NA	
215	tower	41.1997539	-8.5619193	1390707943						NA						NA	NA	
216	tower	41.1998073	-8.5603897	1390707944				Bing		NA						NA	NA	
217	tower	41.199834	-8.5597595	1390707945				Bing		NA						NA	NA	
218	tower	41.1998371	-8.5600621	1390707946						NA						NA	NA	
219	tower	41.1998419	-8.5607632	1390707947						NA						NA	NA	
220	tower	41.1998954	-8.5594092	1390707949				Bing		NA						NA	NA	
221	tower	41.1999575	-8.5593046	1390707950				Bing		NA						NA	NA	
222	tower	41.1999748	-8.5585576	1390707952				Bing		NA						NA	NA	
223	tower	41.2005814	-8.5638328	1390707954						NA						NA	NA	
224	tower	41.2015773	-8.5661555	1390707962				Bing		NA						NA	NA	
225	tower	41.1550037	-8.4558204	1393643581						NA						NA	NA	
226	tower	41.1552439	-8.4531953	1393643697				bing		NA						NA	NA	
