0,power,lat,lon,id,source,location:transition,line_attachment,material,line_management,design,ref,description,operator,operator:wikidata,structure,colour,line_arrangement,mapillary,operator:wikipedia,cables,disused,fixme
119,tower,41.176267,-8.5632682,1390707866,,,,,,,,,,,,,,,,,,
120,tower,41.1763119,-8.5654017,1390707867,,,,,,,,,,,,,,,,,,
121,tower,41.1762947,-8.5623199,1390707869,,,,,,,,,,,,,,,,,,
122,tower,41.1766672,-8.5755827,1390707870,,,,,,,,,,,,,,,,,,
123,tower,41.1769835,-8.5742539,1390707871,,,,,,,,,,,,,,,,,,
124,tower,41.1777946,-8.5735735,1390707875,,,,,,,,,,,,,,,,,,
125,tower,41.1781475,-8.5629324,1390707877,,,,,,,,,,,,,,,,,,
126,tower,41.1782899,-8.5735733,1390707878,,,,,,,,,,,,,,,,,,
127,tower,41.1785336,-8.5741898,1390707879,,,,,,,,,,,,,,,,,,
128,tower,41.1789555,-8.5622537,1390707880,,,,,,,,,,,,,,,,,,
129,tower,41.1794338,-8.5629074,1390707882,,,,,,,,,,,,,,,,,,
130,tower,41.1801342,-8.5621731,1390707885,,,,,,,,,,,,,,,,,,
131,tower,41.1801999,-8.5730102,1390707886,,,,,,,,,,,,,,,,,,
132,tower,41.1809396,-8.5720506,1390707890,,,,,,,,,,,,,,,,,,
133,tower,41.1810093,-8.5722945,1390707891,,,,,,,,,,,,,,,,,,
134,tower,41.1822046,-8.5621101,1390707892,,,,,,,,,,,,,,,,,,
135,tower,41.1825446,-8.5715418,1390707893,,,,,,,,,,,,,,,,,,
136,tower,41.1825911,-8.5712344,1390707894,,,,,,,,,,,,,,,,,,
137,tower,41.1828127,-8.5716533,1390707895,,,,,,,,,,,,,,,,,,
138,tower,41.1833789,-8.5627231,1390707897,,,,,,,,,,,,,,,,,,
139,tower,41.1843191,-8.5620333,1390707899,,,,,,,,,,,,,,,,,,
140,tower,41.1844357,-8.570589,1390707900,,,,,,,,,,,,,,,,,,
141,tower,41.1846431,-8.5708102,1390707901,,,,,,,,,,,,,,,,,,
142,tower,41.1849913,-8.5700613,1390707902,,,,,,,,,,,,,,,,,,
143,tower,41.1852287,-8.5626493,1390707903,,,,,,,,,,,,,,,,,,
144,tower,41.1864008,-8.5619482,1390707904,,,,,,,,,,,,,,,,,,
145,tower,41.186675,-8.5625858,1390707905,,,,,,,,,,,,,,,,,,
146,tower,41.1872281,-8.5695976,1390707906,,,,,,,,,,,,,,,,,,
147,tower,41.1872949,-8.5691916,1390707907,,,,,,,,,,,,,,,,,,
148,tower,41.1876728,-8.5687557,1390707908,,,,,,,,,,,,,,,,,,
149,tower,41.1878381,-8.5618848,1390707909,,,,,,,,,,,,,,,,,,
150,tower,41.1884765,-8.5624943,1390707910,,,,,,,,,,,,,,,,,,
151,tower,41.1894585,-8.568542,1390707912,,,,,,,,,,,,,,,,,,
152,tower,41.1899079,-8.5679202,1390707917,,,,,,,,,,,,,,,,,,
153,tower,41.1899256,-8.5676456,1390707922,,,,,,,,,,,,,,,,,,
154,tower,41.1921658,-8.5665518,1390707923,Bing,,,,,,,,,,,,,,,,,
155,tower,41.192272,-8.5667557,1390707924,Bing,,,,,,,,,,,,,,,,,
156,tower,41.1906068,-8.5617796,1390707925,,,,,,,,,,,,,,,,,,
157,tower,41.1907362,-8.5624373,1390707926,,,,,,,,,,,,,,,,,,
158,tower,41.1930364,-8.5623405,1390707929,,,,,,,,,,,,,,,,,,
159,tower,41.1932524,-8.5616677,1390707930,,,anchor,,,,,,,,,,,,,,,
160,tower,41.1951894,-8.562247,1390707932,,,,,,,,,,,,,,,,,,
161,tower,41.1958638,-8.561438,1390707934,,,,,,,,,,,,,,,,,,
162,tower,41.1973438,-8.5621434,1390707935,,,,,,,,,,,,,,,,,,
163,tower,41.1987214,-8.5594297,1390707937,,,,,,,,,,,,,,,,,,
164,tower,41.1998073,-8.5603897,1390707944,Bing,,,,,,,,,,,,,,,,,
165,tower,41.199834,-8.5597595,1390707945,Bing,,,,,,,,,,,,,,,,,
166,tower,41.1998371,-8.5600621,1390707946,,,,,,,,,,,,,,,,,,
167,tower,41.1998954,-8.5594092,1390707949,Bing,,,,,,,,,,,,,,,,,
168,tower,41.1999748,-8.5585576,1390707952,Bing,,,,,,,,,,,,,,,,,
169,tower,41.1550037,-8.4558204,1393643581,,,,concrete,,,,,,,,,,,,,,
170,tower,41.1585624,-8.4597653,1393647148,,,,,,,,,,,,,,,,,,
171,tower,41.1619741,-8.4596338,1393648671,,,,,,,,,,,,,,,,,,
172,tower,41.170665,-8.4585484,1393651808,Bing,,,,,,,,,,,,,,,,,
173,tower,41.1751353,-8.4577211,1393654651,,,,,,,,,,,,,,,,,,
174,tower,41.1764928,-8.4568469,1393654980,,,,,,,,,,,,,,,,,,
175,tower,41.1768234,-8.4574187,1393655150,,,,,,,,,,,,,,,,,,
176,tower,41.1819972,-8.4564518,1393655526,,,,,,,,,,,,,,,,,,
177,tower,41.1838081,-8.4561229,1393655528,,,,,,,,,,,,,,,,,,
178,tower,41.1864894,-8.4556483,1393655529,,,,,,,,,,,,,,,,,,
179,tower,41.1887919,-8.4552046,1393655534,,,,,,,,,,,,,,,,,,
180,tower,41.19289,-8.454432,1393655538,,,,,,,,,,,,,,,,,,
181,tower,41.0717467,-8.4557683,1417922326,,,,,,,,,,,,,,,,,,
182,tower,41.0721028,-8.4563972,1417922367,,,,,,,,,,,,,,,,,,
183,tower,41.0708232,-8.4569048,1523925571,,,,,,,,,,,,,,,,,,
184,tower,41.071074,-8.4570711,1523925580,,,,,,,,,,,,,,,,,,
185,tower,41.0745016,-8.4552782,1523925582,bing,,,,,,,,,,,,,,,,,
186,tower,41.0748876,-8.4559618,1523925584,,,,,,,,,,,,,,,,,,
187,tower,41.0772811,-8.4566176,1523925588,,,,,,,,,,,,,,,,,,
188,tower,41.1110502,-8.4728089,1523925590,,,,,,,,,,,,,,,,,,
189,tower,41.1215361,-8.4743358,1523925594,,,,,,,,,,,,,,,,,,
190,tower,41.1274323,-8.4719,1523925596,,,,,,,,,,,,,,,,,,
191,tower,41.1299367,-8.4708998,1523925597,,,,,,,,,,,,,,,,,,
192,tower,41.1353812,-8.4692406,1523925600,,,,,,,,,,,,,,,,,,
193,tower,41.1431587,-8.4668556,1523925603,,,,,,,,,,,,,,,,,,
194,tower,41.1463321,-8.4658995,1523925608,,,,,,,,,,,,,,,,,,
