power lat lon id GSV_status GSV_lat GSV_lon GSV_date GSV_pano_id elev_GSV distance heading fov elev_tower diff_elev pitch X1 X2 X3 X4 Y1 Y2 Y3 Y4
tower 41.1958484 -8.5233148 1639499996 OK 41.1949491 -8.5219768 2014-07 m33fIG7zo9aXUqijG_datQ 233.699996948242 178.947165111144 303.905938501798 68.5236654519732 210.199996948242 -23.5 -7.48148025088956 -8.52230930316231 -8.5258936 -8.522011 -8.5248215 41.1972713779102 41.196961 41.1948791 41.1949926
tower 41.1976296 -8.5219697 1639499997 OK 41.1973551976099 -8.52235813520211 2020-06 E0m9Tqy8uMsHwuvykgf_gw 234.800003051758 52.7896415855658 54.7614588516134 84.5606387814959 243.100006103516 8.30000305175781 8.93534369002138 -8.52063076182065 -8.5256274 -8.5202508 -8.5248215 41.1978631934361 41.1978465 41.1961804 41.1949926
tower 41.1984323 -8.5409334 1639499998 OK 41.1982701278459 -8.54102772705541 2009-08 UorHZQGxFuPt_7h3bcGouA 146.5 20.8246771210409 30.1843235197816 88.6239817219016 146.5 0 0 -8.5385341 -8.5440928 -8.53939655108773 -8.5416083 41.2004532 41.1997931 41.1982256592946 41.1973966
tower 41.200435 -8.5207032 1639499999 OK 41.2003432 -8.5210514 2019-10 ofIMB2HOX0-aJ8SFlZ_05Q 250.300003051758 39.9708641897459 75.230521733843 86.1901443826594 240.199996948242 -10.1000061035156 -14.180898818095 -8.52023580728713 -8.5224741 -8.5188037 -8.52325276145592 41.2011064701718 41.2016489 41.2001822 41.1981660207256
tower 41.2005236 -8.5451545 1639500000 OK 41.2004162 -8.5450482 2009-07 fqr7h4Ghn1lo3w56Pv9qRw 133.199996948242 16.7732900309825 315.294921858046 89.1389885553836 134.400009155273 1.20001220703125 4.09214216181482 -8.54514457442896 -8.5452931 -8.5456971 NA 41.2013169004188 41.2010251 41.2002409 NA
tower 41.2023245 -8.5488624 1639500001 OK 41.2023021571797 -8.54840832336176 2014-07 gaDpLlfzyF4jcP3avwj6GA 120.5 50.4634854064387 272.816964275333 84.8563366008764 118.700004577637 -1.79999542236328 -2.04283226086344 -8.54877199411331 -8.54948683642079 -8.54885116385322 -8.5500528 41.2031845112704 41.2037698594253 41.2014063734977 41.201146
tower 41.2025531 -8.5199249 1639500002 OK 41.2015322034155 -8.52092537007592 2020-12 YbDYV-uTKCLkAlaYmuyuDA 237.300003051758 158.662850555232 44.4210288906617 71.1021800141655 235.400009155273 -1.89999389648438 -0.686086426614424 -8.5178651381289 -8.5219254 -8.519906 -8.52055712245402 41.2033516087514 41.2037306 41.2008769 41.2014376373499
tower 41.2072412 -8.5179635 1639500029 OK 41.2083393608093 -8.51675392764878 2015-04 Os4Yhh8s_aXj9c0MmEfyvw 153.699996948242 181.342288041576 227.763949867092 68.219200672681 171.199996948242 17.5 5.51212225284957 -8.5177361 -8.5201324 -8.5137222 -8.51951393705759 41.2078936 41.2076689 41.2069435 41.206165701373
tower 41.2130617 -8.5347591 1639500048 OK 41.2123408 -8.5344842 2014-07 TxUNroc9rAKqctubVTtsnw 174.600006103516 85.6404255553829 339.126705644425 80.3846916666886 171.699996948242 -2.90000915527344 -1.93944410909997 -8.5328526 -8.5371334 -8.53457636834596 -8.5354639 41.213368 41.2140319 41.2123022732913 41.2127392
tower 41.2145065 -8.5149122 1639500050 OK 41.2145607 -8.5153397 2019-10 IAuw692J4oSeIm5B6Ow6rQ 166 47.8323574445022 97.2256161693772 85.1908020197667 166 0 0 -8.5125159 -8.5172798 -8.5148558 -8.5152251 41.2151637 41.2164942 41.2138951 41.211711
tower 41.2146703 -8.5376196 1639500052 OK 41.2147547 -8.538032 2020-04 CAoSLEFGMVFpcFB6Q1ZJV1JOLW0yRzhTNFByd0JkbFBOQkJMODBBakVxa1ZxUzBw 160 46.7252149864813 101.566192172731 85.3315404678202 160.900009155273 0.900009155273438 1.10348021330484 -8.53693073507475 -8.5406981 -8.5371202566873 -8.5383672 41.2151327096987 41.2153353 41.2123657649088 41.2120917
tower 41.2148165 -8.53583 1639500062 OK 41.2150832207593 -8.53599500686121 2014-07 3eyVxiOP_0UcmkJXvvDeSg 168.800003051758 34.8135406497096 148.256983177681 86.8457363580878 168.800003051758 0 0 -8.5351888 -8.53610432825797 -8.5354639 -8.5366929 41.2153174 41.2155202285906 41.2127392 41.2147784
tower 41.214832 -8.53821 1639500065 OK 41.2147547 -8.538032 2020-04 CAoSLEFGMVFpcFB6Q1ZJV1JOLW0yRzhTNFByd0JkbFBOQkJMODBBakVxa1ZxUzBw 160 21.5406618305855 293.473843849511 88.532966716451 160 0 0 -8.53759340631686 -8.5406981 -8.53765071496648 -8.5383672 41.215292095537 41.2153353 41.2122508259802 41.2120917
tower 41.2149439 -8.5387689 1639500066 OK 41.2147547 -8.538032 2020-04 CAoSLEFGMVFpcFB6Q1ZJV1JOLW0yRzhTNFByd0JkbFBOQkJMODBBakVxa1ZxUzBw 160 84.4489174486587 284.399725588768 80.5361545616112 145.600006103516 -14.3999938964844 -9.67684450658316 -8.53784693507444 -8.5406981 -8.53816139253362 NA 41.2156318602551 41.2153353 41.2121401731075 NA
tower 41.2156775 -8.5327342 1639500067 OK 41.2138915 -8.5322186 2009-07 2zlpUlgRkmeA6yxx_qxbfg 181 206.341785769768 343.897110111797 65.0412984190973 166.300003051758 -14.6999969482422 -4.07492463394632 -8.5312566 -8.5350098 -8.5305827 -8.5351888 41.217704 41.2158861 41.2156126 41.2153174
tower 41.2162051 -8.5329537 1639500068 OK 41.2154028021383 -8.53525391841529 2014-07 4wph9VpJppZkXP8gfD2m6Q 177.800003051758 270.409455837691 70.7716351670855 56.89710307148 181 3.19999694824219 0.678000556856784 -8.5307527 -8.5339523 -8.532241 -8.5350098 41.2166864 41.218868 41.2138563 41.2158861
tower 41.2164639 -8.5334461 1639500069 OK 41.2157106340438 -8.53546030301383 2014-07 caDTvxD1qmgfTNCrpY2DbQ 170.699996948242 238.699644924093 69.4953504281942 60.9280112384628 185.800003051758 15.1000061035156 3.6196757709495 -8.5312566 -8.53422173 -8.532241 -8.5350098 41.217704 41.21879079 41.2138563 41.2158861
tower 41.217133 -8.5311632 1639500070 OK 41.2173271756165 -8.53064438809338 2015-04 NJly4oriE5Zk6bqDCFDYGg 123.900001525879 61.4893879655333 249.480644096929 83.4547388179407 123.900001525879 0 0 -8.527483 -8.5312566 -8.52831556739367 -8.5350098 41.2180328 41.217704 41.2164646780618 41.2158861
tower 41.2172722 -8.5373261 1639500075 OK 41.2167805 -8.5361844 2014-07 N3sMWrt3pf63-nrVHgLO-g 178.300003051758 137.981875249735 293.300266661042 73.7311175529998 179.900009155273 1.60000610351562 0.664358911081408 -8.535229 -8.5396653 -8.5361898 -8.5384001718232 41.2184585 41.2180562 41.2167761 41.2163055353591
tower 41.2174254 -8.536866 1639500077 OK 41.2167805 -8.5361844 2014-07 N3sMWrt3pf63-nrVHgLO-g 178.300003051758 104.155303162784 313.415213844246 78.0311055301546 179.600006103516 1.30000305175781 0.715093888174642 -8.535229 -8.5396653 -8.5361898 -8.5369295 41.2184585 41.2180562 41.2167761 41.2161646
tower 41.2176192 -8.5136457 1639500081 OK 41.2179328235181 -8.51305700243784 2019-10 t6t-6mB_HtgYVS_5tmiYvw 182.5 74.0399564036814 241.953927619974 81.8593275758032 183.600006103516 1.10000610351562 0.851176495245935 -8.51323116819459 -8.51505921918599 -8.51268 -8.5139378 41.2180720135005 41.2184687041413 41.217119 41.2172257
tower 41.2178 -8.5373789 1639500084 OK 41.2167805 -8.5361844 2014-07 N3sMWrt3pf63-nrVHgLO-g 178.300003051758 174.316320436346 310.480597149333 69.1123321479221 179.900009155273 1.60000610351562 0.525888926196281 -8.535229 -8.5396653 -8.5361898 -8.5386673322957 41.2184585 41.2180562 41.2167761 41.2165958924359
tower 41.2180459 -8.5309749 1639500086 OK 41.2180244004772 -8.53111112683314 2015-04 eElfOoJZkxvu2FmJbCQW1A 116.099998474121 15.3083365519446 81.0314676802264 89.3252114552613 116.099998474121 0 0 -8.5273422 -8.53383671988909 -8.52826582545989 -8.5350558 41.2185592 41.2191638669419 41.2166286424827 41.2159579
tower 41.2187285 -8.5388746 1639500089 OK 41.2189819 -8.5391437 2014-07 kjexdXvtj-yMNLvWeTkD4A 150.800003051758 41.0289349704272 133.278903043029 86.0556438596915 154.900009155273 4.10000610351562 5.70660086645529 -8.5365712 -8.5393186 -8.53972230208049 NA 41.2200572 41.219998 41.2182855024557 NA
